category,nominal_N,nominal_selected,nominal_sigmaK_pb,nominal_raw_fraction,nominal_weighted_fraction,nominal_rate_pb,lower_N,lower_selected,lower_sigmaK_pb,lower_fraction,lower_rate_pb,rate_ratio,conditional_95_low,conditional_95_high,with_integration_95_low,with_integration_95_high,equivalence
CRVV_MT2_hghmet_cuts,60000,112,0.04079737349333333,0.0018666666666666666,0.0018666578337723392,7.615473682866665e-05,20000,23,0.09096911459999998,0.00115,0.00010461448178999998,1.3737094519197437,0.7577381818593593,1.989680721980128,0.7577020599208634,1.989716843918624,not_established
CRVV_MT2_lowmet_cuts,60000,26,0.04079737349333333,0.0004333333333333333,0.00043333156675446786,1.767878977533333e-05,20000,5,0.09096911459999998,0.00025,2.2742278649999996e-05,1.2864160352046041,,,,,unresolved
CRtau_MT2_hghmet_cuts,60000,19,0.04079737349333333,0.00031666666666666665,0.00031666843324553204,1.2919240344666664e-05,20000,2,0.09096911459999998,9.999999999999999e-05,9.096911459999998e-06,0.7041367152640206,,,,,unresolved
CRtau_MT2_lowmet_cuts,60000,28,0.04079737349333333,0.00046666666666666666,0.000466668433245532,1.9038846368666663e-05,20000,5,0.09096911459999998,0.00025,2.2742278649999996e-05,1.194519783899737,,,,,unresolved
CRtop_MT2_hghmet_cuts,60000,49,0.04079737349333333,0.0008166666666666667,0.0008166578337723395,3.331749466066666e-05,20000,13,0.09096911459999998,0.00065,5.9129924489999985e-05,1.774741020962974,0.6899146590651131,2.859567382860835,0.6898804616551903,2.8596015802707573,not_established
CRtop_MT2_lowmet_cuts,60000,14,0.04079737349333333,0.00023333333333333333,0.00023333686649106418,9.519531292e-06,20000,1,0.09096911459999998,4.9999999999999996e-05,4.548455729999999e-06,0.47780248737901826,,,,,unresolved
SRee_eMT2a_hghmet_cuts,60000,5,0.04079737349333333,8.333333333333333e-05,8.333686649106416e-05,3.3999252679999996e-06,20000,1,0.09096911459999998,4.9999999999999996e-05,4.548455729999999e-06,1.3378105021336604,,,,,unresolved
SRee_eMT2a_lowmet_V2_cuts,60000,14,0.04079737349333333,0.00023333333333333333,0.00023333686649106418,9.519531292e-06,20000,2,0.09096911459999998,9.999999999999999e-05,9.096911459999998e-06,0.9556049747580365,,,,,unresolved
SRee_eMT2b_hghmet_cuts,60000,17,0.04079737349333333,0.00028333333333333335,0.0002833527657008529,1.1560048612666665e-05,20000,2,0.09096911459999998,9.999999999999999e-05,9.096911459999998e-06,0.7869267478713075,,,,,unresolved
SRee_eMT2b_lowmet_V2_cuts,60000,16,0.04079737349333333,0.0002666666666666667,0.00026667903271872457,1.0879804100666665e-05,20000,3,0.09096911459999998,0.00015,1.3645367189999996e-05,1.2541923607947931,,,,,unresolved
SRee_eMT2c_hghmet_cuts,60000,33,0.04079737349333333,0.00055,0.0005499947002634037,2.2438339205999997e-05,20000,7,0.09096911459999998,0.00035,3.183919010999999e-05,1.4189637574195426,,,,,unresolved
